Epoch,Total_Reward,Threshold_Bonus
1,5637.934852598141,0
2,9530.29871669064,0
3,10399.999199530772,0
4,7716.259386716544,0
5,5555.50939766598,0
6,6176.1920693000975,0
7,5568.035215584754,0
8,6442.399888480631,0
9,9229.27288385038,0
10,8313.988932000906,0
11,7086.059153574793,0
12,9251.669463058823,0
13,9852.685528058339,0
14,6932.041699564361,0
15,5778.878916396295,0
16,7110.167761917635,0
17,7082.203127073843,0
18,7775.080388109816,0
19,5392.053914816996,0
20,8336.479180031776,0
21,10399.99338726715,0
22,7023.851367125917,0
23,7983.906560303682,0
24,10177.105615455233,0
25,7417.0906762744235,0
26,8188.072429192914,0
27,7082.737248446939,0
28,10399.993322595186,0
29,10399.996971157827,0
30,9545.413571737174,0
31,8305.259303044646,0
32,5802.830361878362,0
33,5026.080259377499,0
34,9033.497921946995,0
35,8773.757048755097,0
36,7864.883556090176,0
37,8175.220592574296,0
38,6320.920358438998,0
39,9585.739886684372,0
40,7098.515561980672,0
41,7382.392880018973,0
42,5855.873115109108,0
43,8223.292507920498,0
44,10399.99999749678,0
45,7417.162175885883,0
46,10399.995440103874,0
47,6067.6832525300915,0
48,9763.649185959657,0
49,9702.447758138625,0
50,8548.922729711494,0
51,8346.361246239036,0
52,7425.125871404307,0
53,9229.280975437101,0
54,8214.996767517834,0
55,9496.590707647632,0
56,9744.689632875341,0
57,9097.706268713477,0
58,6806.110756718393,0
59,6859.131739567205,0
60,6887.814429803579,0
61,7095.421876415552,0
62,5137.553677672031,0
63,8471.90326593068,0
64,8948.764074538287,0
65,9441.159603268352,0
66,8515.845258934074,0
67,4889.896350319469,0
68,10072.6382791413,0
69,6753.580037506478,0
70,10399.99999860948,0
71,6571.337334505292,0
72,8201.251626305286,0
73,6863.472790968187,0
74,10399.99844328767,0
75,10399.999755904506,0
76,9266.291269978858,0
77,7176.066782917937,0
78,5716.349281033343,0
79,5527.668284935464,0
80,6125.730820223522,0
81,6738.18250397087,0
82,9150.48774271285,0
83,8602.693468439724,0
84,7951.265700989821,0
85,7901.451261210043,0
86,9285.287035480955,0
87,10399.990887609336,0
88,10399.998995823045,0
89,9327.441284222354,0
90,8433.081084474608,0
91,9407.783973069167,0
92,10399.998235025529,0
93,8403.743768333148,0
94,6820.877278913945,0
95,10399.996871656895,0
96,10127.148610752822,0
97,9808.270138248665,0
98,5318.720861998527,0
99,7471.596327004897,0
100,5312.895329639241,0
101,8067.689080764522,0
102,7289.928573321894,0
103,5504.471453455863,0
104,9098.82950907474,0
105,8371.99797783597,0
106,5395.611867346465,0
107,4956.358542567193,0
108,8774.21978151858,0
109,7401.794932186274,0
110,6642.564067104735,0
111,5545.578753984108,0
112,9734.207239463623,0
113,10399.999993997706,0
114,8508.759525985388,0
115,7136.857561033487,0
116,9682.606673834352,0
117,10399.997075961213,0
118,6703.193652831677,0
119,9203.959437299638,0
120,10399.996118107438,0
121,7870.583717898827,0
122,10399.998699584552,0
123,5410.63694697937,0
124,5606.171108109835,0
125,5551.33612234493,0
126,7505.197056377037,0
127,8210.426467518495,0
128,7195.239394508912,0
129,9428.357061439718,0
130,10399.993716954485,0
131,7223.632107679365,0
132,7292.681395191258,0
133,4904.380868713853,0
134,5922.048532101462,0
135,10399.999995090431,0
136,6068.779402522681,0
137,10399.998826256455,0
138,10399.999711598222,0
139,4294.942988782135,0
140,10399.999997370658,0
141,9092.642339260306,0
