Epoch,Total_Reward,Threshold_Bonus
1,7342.327790863058,4.4
2,10390.751777664434,0.0
3,10391.021209885455,0.0
4,10077.201353905437,0.8250000000000001
5,7711.972902480107,3.575
6,7886.741241161845,2.475
7,6783.986273989238,3.575
8,9659.149748799247,1.65
9,10381.938757173137,0.0
10,10385.125302414957,0.0
11,8548.389994973584,1.9249999999999998
12,10390.185554722148,0.0
13,10390.526218838866,0.0
14,8497.745222853957,2.75
15,8219.053174588287,2.475
16,10201.794695179786,0.55
17,9876.53244812317,1.1
18,10374.01963799577,0.0
19,7465.040888122916,5.225000000000001
20,9658.456303477376,1.1
21,10391.021209751536,0.0
22,9139.499855212087,1.375
23,9105.489763005768,1.1
24,10389.237361631414,0.0
25,8308.00184474681,1.9249999999999998
26,10144.77178478313,1.1
27,9978.51508886913,0.55
28,10391.018174963845,0.0
29,10391.019985748557,0.0
30,10351.844130726338,0.275
31,10368.42146003584,0.0
32,7077.084449321781,3.575
33,6984.847990058026,4.675000000000001
34,10390.987318326435,0.0
35,10391.278745343749,0.0
36,10023.193921772528,1.1
37,9192.665887260064,1.1
38,8259.9764335269,2.475
39,10389.60022098668,0.0
40,9291.970824895996,1.65
41,8163.0684073363,2.2
42,9587.298491592217,2.7500000000000004
43,8510.457019134315,1.9249999999999998
44,10391.021217493042,0.0
45,9854.989771859624,0.55
46,10391.021215818064,0.0
47,7636.024830798898,3.85
48,10390.977522092462,0.0
49,10390.843649907838,0.0
50,10032.921316991886,1.9250000000000003
51,10390.090070216791,0.275
52,10340.227843634939,0.55
53,10391.00243508692,0.0
54,10372.481799775822,0.275
55,10387.869193569386,0.0
56,10391.015504353247,0.0
57,9967.025989942824,0.8250000000000001
58,7954.29428403709,1.9250000000000003
59,7971.898672878726,2.2
60,8758.162700933033,2.75
61,9305.72467124485,2.475
62,6560.621773210794,4.400000000000001
63,10382.79624550319,0.0
64,10362.587078936518,0.275
65,10328.840307813294,0.275
66,10389.535212003846,0.0
67,4610.7483441130535,4.675000000000001
68,10390.970017602676,0.0
69,9153.952735251498,2.2
70,10391.021217495116,0.0
71,9726.539894965335,1.65
72,10343.865570028169,0.8250000000000001
73,8010.186335252603,2.2
74,10391.020713296477,0.0
75,10391.021198826917,0.0
76,10390.410642041106,0.0
77,9417.031189745161,3.3
78,9023.416431961756,1.6500000000000001
79,7914.185359404138,4.125
80,8739.40186376233,2.2
81,9256.16718408128,2.2
82,10384.999976849,0.0
83,10361.400012423812,0.0
84,10280.370649453382,0.55
85,9976.87436936235,0.55
86,10121.090145390046,0.8250000000000001
87,10391.018812780303,0.0
88,10391.021207467387,0.0
89,10389.960349927384,0.275
90,9782.869895523327,1.1
91,10357.328011726378,0.275
92,10391.020952487277,0.0
93,10385.296627771731,0.0
94,10135.393539862993,1.375
95,10391.02120812919,0.0
96,10388.231531470316,0.0
97,10390.32653290002,0.0
98,6949.344461824101,3.0250000000000004
99,9804.69494957782,1.375
100,6848.833048758095,3.3000000000000003
101,9248.457565247292,1.375
102,10045.59660259133,1.375
103,7703.703982980978,3.025
104,10387.192586304194,0.275
105,10390.900805111964,0.0
106,7746.687733187178,3.0250000000000004
107,7368.260405454048,3.025
108,10366.831808054287,0.275
109,9643.622244589338,1.1
110,8373.279037677701,3.3000000000000003
111,8076.230398729269,3.575
112,10378.002874925214,0.0
113,10391.021217491087,0.0
114,9829.83232547008,1.1
115,10336.246608032534,0.8250000000000001
116,10390.537387199458,0.0
117,10391.021212169533,0.0
