State_ID,Visit_Count
"(0.0, 0.0, 0.0, 0.0, 0.0, 0.667, 0.0, 0.0, 0.0, 0.0, 2455.856, 1000.0, 1413.856, 3843.401, 3465.45, 0.0, 0.0, -1.0, 2455.856)",10
"(0.0, 0.0, 0.0, 0.0, 1.0, 0.333, 0.0, 0.0, 0.0, 0.0, 2455.856, 1000.0, 1413.856, 3843.401, 3621.63, 0.0, 0.0, 0.0, 2455.856)",10
"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2455.856, 1000.0, 1413.856, 3843.401, 3797.804, 0.0, 0.0, 0.0, 2455.856)",10
"(1.0, 0.0, 0.0, 0.0, 0.0, 0.333, 0.0, 0.0, 0.0, 0.0, 2455.856, 1000.0, 1413.856, 3843.401, 3459.65, 0.0, 0.0, 1.0, 2455.856)",10
"(1.0, 0.0, 0.0, 0.0, 0.0, 0.667, 0.0, 0.0, 0.0, 0.0, 2455.856, 1000.0, 1413.856, 3843.401, 3273.324, 0.0, 0.0, 0.0, 2455.856)",10
"(1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2455.856, 1000.0, 1413.856, 3843.401, 3271.56, 0.0, 0.0, 0.0, 2455.856)",10
"(1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2455.856, 1000.0, 1413.856, 3843.401, 3345.872, 0.0, 0.0, 0.0, 2455.856)",10
"(0.0, 0.0, 0.0, 0.0, 1.0, 0.667, 0.0, 0.0, 0.0, 0.0, 2455.856, 1000.0, 1413.856, 3843.401, 3427.568, 0.0, 0.0, -1.0, 2455.856)",10
"(0.0, 0.0, 0.0, 0.0, 1.0, 0.333, 0.0, 0.0, 0.0, 0.0, 2455.856, 1000.0, 1413.856, 3843.401, 3097.429, 0.0, 0.0, 0.0, 2455.856)",10
"(0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.333, 0.0, 2455.856, 1000.0, 1413.856, 3843.401, 3028.626, 0.0, 0.0, 0.0, 2455.856)",10
